,Date,Month,Day,Hour,Minute,Power,Central,Domar,Tiunda,Ärentuna,Stenhagen
0,2021-10-05,10,5,6,0,1692.0,1,0,0,0,0
1,2021-10-05,10,5,6,5,1234.0,1,0,0,0,0
2,2021-10-05,10,5,6,10,2199.0,1,0,0,0,0
3,2021-10-05,10,5,6,15,2227.0,1,0,0,0,0
4,2021-10-05,10,5,6,20,1907.0,1,0,0,0,0
5,2021-10-05,10,5,6,25,6418.0,1,0,0,0,0
6,2021-10-05,10,5,6,30,6020.0,1,0,0,0,0
7,2021-10-05,10,5,6,35,9762.0,1,0,0,0,0
8,2021-10-05,10,5,6,40,12208.0,1,0,0,0,0
9,2021-10-05,10,5,6,45,21348.0,1,0,0,0,0
10,2021-10-05,10,5,6,50,12493.0,1,0,0,0,0
11,2021-10-05,10,5,6,55,7576.0,1,0,0,0,0
12,2021-10-05,10,5,7,0,17148.0,1,0,0,0,0
13,2021-10-05,10,5,7,5,13222.0,1,0,0,0,0
14,2021-10-05,10,5,7,10,13440.0,1,0,0,0,0
15,2021-10-05,10,5,7,15,14121.0,1,0,0,0,0
16,2021-10-05,10,5,7,20,16466.0,1,0,0,0,0
17,2021-10-05,10,5,7,25,9274.0,1,0,0,0,0
18,2021-10-05,10,5,7,30,13654.0,1,0,0,0,0
19,2021-10-05,10,5,7,35,9266.0,1,0,0,0,0
20,2021-10-05,10,5,7,40,15901.0,1,0,0,0,0
21,2021-10-05,10,5,7,45,16675.0,1,0,0,0,0
22,2021-10-05,10,5,7,50,17266.0,1,0,0,0,0
23,2021-10-05,10,5,7,55,16658.0,1,0,0,0,0
24,2021-10-05,10,5,8,0,22216.0,1,0,0,0,0
25,2021-10-05,10,5,8,5,15695.0,1,0,0,0,0
26,2021-10-05,10,5,8,10,27600.0,1,0,0,0,0
27,2021-10-05,10,5,8,15,14547.0,1,0,0,0,0
28,2021-10-05,10,5,8,20,14368.0,1,0,0,0,0
29,2021-10-05,10,5,8,25,10954.0,1,0,0,0,0
30,2021-10-05,10,5,8,30,9020.0,1,0,0,0,0
31,2021-10-05,10,5,8,35,23563.0,1,0,0,0,0
32,2021-10-05,10,5,8,40,10292.0,1,0,0,0,0
